CustLocation,TotalTransactions,TotalAmount,AvrageAmount
RLY STN NAVI MUMBAI,1,3616,3616
STATION GURGAON,2,1163,581.5
KULLU,20,14084,704.2
PATHANKOT [PB],25,17069.75,682.79
(W) MUMBAI,6,13845,2307.5
KUVA WALI GALI GREATER NOIDA,2,3896,1948
KAROL BAGH NEW DELHI DELHI,3,2250,750
CHHIBRAMAU,1,1498,1498
MUNNAR,1,100,100
JUNAGADH,14,2591.39,185.0992857
CHICOLNA MORMUGAO,4,2508,627
THANA,1,534,534
SIGNAL SION (E) MUMBAI,11,6144.89,558.6263636
GONDA,26,9449,363.4230769
MUMBAI MUMBAI,19,24670.69,1298.457368
GOVT SCHOOL BENGALURU,8,3892.52,486.565
INSTITUTE BURDWAN,1,90,90
MALLESWARAM WEST BANGALORE,8,79479.55,9934.94375
RANAPRATAP NAGAR NAGPUR,1,2298.85,2298.85
LASHKAR CITY,1,5499,5499
NEW GAJUWAKA VISAKHAPATNAM,2,1117,558.5
SAGWARA,1,460,460
ROAD ANDHERI (W) MUMBAI,3,947,315.6666667
KANPUR DEHAT,6,324,54
KALAHANDI,2,797,398.5
THANE THANE,12,8661.45,721.7875
CHAMPHAI,2,1997,998.5
SAGAR,12,10035.55,836.2958333
24 PGS N,2,665,332.5
NANGAL,26,248711.84,9565.84
PALWAL,24,27084.21,1128.50875
USGAO,2,630,315
JUBAILI IND CITY,1,2092,2092
BHIMTAL,1,101,101
JEWELLERS HYDERABAD,4,5450,1362.5
MAPUSA,19,128787,6778.263158
BARDDHAMAN,12,22558,1879.833333
